,Bal,Brick,Dist,Floor,Kitsp,Livesp,Metrdist,New,Nfloors,Price,Rooms,Tel,Totsp,Walk,lat,lon
0,True,False,0.04151562175856277,3,12.1,66.8,2,False,7,93000000,3,False,142.0,True,55.750038,37.57846
1,True,False,0.02053887730622087,7,16.0,116.0,8,False,7,62234214,4,True,172.0,True,55.773024,37.612829
2,False,False,0.02635504403334961,3,20.0,86.8,9,False,7,81280000,3,True,146.3,True,55.744023999999996,37.644324
3,False,True,0.057014074797366136,2,5.0,12.8,5,False,5,4814581,1,False,17.3,True,55.77629399999999,37.672163
4,False,False,0.057014074797366136,2,4.0,17.3,5,False,6,4814581,1,False,17.3,True,55.77629399999999,37.672163
5,False,False,0.02912076388077502,5,8.0,27.0,5,False,5,5000000,1,True,35.0,True,55.777829000000004,37.603496
6,False,True,0.057014074797366136,5,5.0,13.3,5,False,5,5377566,1,False,18.3,True,55.77629399999999,37.672163
7,False,True,0.056594642511457724,5,6.0,18.3,6,True,9,5377566,1,False,18.3,True,55.775753,37.671938
8,False,True,0.056594642511457724,2,7.0,23.7,6,True,7,5496232,1,False,23.7,True,55.775753,37.671938
9,False,False,0.057014074797366136,2,6.0,23.7,5,False,6,5496232,1,False,23.7,True,55.77629399999999,37.672163
10,False,True,0.05838668054445498,1,7.0,20.0,4,False,9,5500000,1,True,32.0,True,55.730101,37.673214
11,True,False,0.09737198521648666,3,7.0,16.0,10,False,5,5999000,1,True,30.0,True,55.756356000000004,37.522477
12,False,False,0.08138045213071718,5,7.0,20.0,10,False,5,6000000,1,True,32.0,True,55.764551000000004,37.539158
13,False,True,0.0968155354733934,1,9.0,20.0,13,False,12,6000000,1,True,35.0,True,55.753387,37.522998
14,True,True,0.0595988253659407,12,10.0,20.0,10,False,12,6100000,1,True,36.0,True,55.737988,37.677301
15,True,True,0.07266606840197135,1,9.6,20.0,10,False,1,6200000,1,True,37.4,True,55.77579300000001,37.689042
16,False,True,0.056594642511457724,4,8.0,25.5,6,True,8,6258687,1,False,25.5,True,55.775753,37.671938
17,False,True,0.057014074797366136,4,7.0,17.0,5,False,4,6258687,1,False,25.5,True,55.77629399999999,37.672163
18,False,True,0.056594642511457724,2,9.0,32.6,6,True,7,6285999,1,False,32.6,True,55.775753,37.671938
19,False,True,0.06984229925339043,1,8.0,18.0,12,False,4,6300000,1,True,35.0,False,55.778521999999995,37.685099
20,False,False,0.05693732794924593,3,7.0,29.5,5,False,6,6325576,1,False,29.5,True,55.775824,37.67228
21,False,True,0.057014074797366136,3,8.0,19.3,5,False,4,6325576,1,False,30.0,True,55.77629399999999,37.672163
22,False,True,0.057014074797366136,3,8.0,21.1,5,False,4,6437035,1,False,33.5,True,55.77629399999999,37.672163
23,False,True,0.056594642511457724,3,9.0,33.4,6,True,8,6437035,1,False,33.4,True,55.775753,37.671938
24,False,True,0.057014074797366136,4,7.0,18.6,5,False,4,6449418,1,False,28.5,True,55.77629399999999,37.672163
25,False,True,0.056594642511457724,3,8.0,28.2,6,True,8,6467402,1,False,28.2,True,55.775753,37.671938
26,False,False,0.09789416254302727,2,8.0,20.5,11,False,5,6500000,1,True,36.8,True,55.751360999999996,37.521947
27,False,True,0.056594642511457724,4,9.0,33.2,6,True,9,6521566,1,False,33.2,True,55.775753,37.671938
28,True,False,0.0540130588839386,7,12.2,26.6,5,True,13,29634768,1,False,68.1,True,55.726762,37.573002
29,True,False,0.03257940842004308,4,15.0,37.0,6,False,7,31400000,2,False,76.0,True,55.731272,37.643435
30,True,False,0.02877113040879898,7,9.0,49.0,11,False,9,41000000,2,False,62.0,True,55.764444999999995,37.59312
31,False,True,0.056594642511457724,4,8.0,28.1,6,True,9,6577730,1,False,28.1,True,55.775753,37.671938
32,False,True,0.056594642511457724,2,8.0,27.9,6,True,7,6597337,1,False,27.9,True,55.775753,37.671938
33,True,True,0.10100175369764433,2,10.0,18.0,10,False,12,6600000,1,True,34.0,True,55.758564,37.518928
34,True,False,0.061667322310927024,5,6.0,18.0,5,False,9,6600000,2,False,33.1,True,55.730030000000006,37.676753000000005
35,True,False,0.061667322310927024,5,5.6,20.2,5,False,9,6600000,1,True,33.1,True,55.730030000000006,37.676753000000005
36,False,False,0.06604857352736594,5,7.0,27.8,7,True,19,6690600,2,True,41.2,True,55.745617,37.685364
37,True,False,0.07761312273062933,4,7.0,19.0,15,False,5,6800000,1,False,31.0,True,55.759537,37.542419
38,True,True,0.05959732538461957,9,8.0,17.0,9,False,12,6850000,1,True,32.0,True,55.734962,37.676384999999996
39,False,True,0.056594642511457724,1,8.0,25.4,6,True,6,6889376,1,False,25.4,True,55.775753,37.671938
40,False,False,0.06604857352736594,4,7.0,27.8,7,True,19,6980600,2,True,41.3,True,55.745617,37.685364
41,False,False,0.06604857352736594,5,7.0,23.4,7,True,19,6980600,2,True,42.0,True,55.745617,37.685364
42,False,True,0.040922590582704116,5,7.5,17.6,6,False,9,6998000,1,True,33.0,True,55.789345,37.639931
43,False,False,0.06606026631039068,2,5.0,22.0,10,False,9,7000000,2,False,35.0,True,55.735302000000004,37.683257
44,False,False,0.057550513472946874,20,10.0,25.0,7,True,44,7000000,1,True,42.0,True,55.77024399999999,37.564689
45,True,True,0.06606026631039068,5,6.0,22.0,16,False,9,7050000,2,False,34.0,True,55.735302000000004,37.683257
46,True,False,0.057550513472946874,29,10.0,27.4,7,True,44,7140000,1,False,41.8,True,55.77024399999999,37.564689
47,False,True,0.07483510370140219,4,7.0,25.0,12,False,5,7200000,1,False,27.0,True,55.774719999999995,37.691638
48,True,False,0.06545589484530963,3,6.0,19.0,15,False,9,7200000,1,False,32.0,True,55.733472,37.682062
49,False,False,0.0623678606735873,2,6.0,18.0,4,False,9,7200000,1,False,31.0,True,55.774011,37.678784
50,True,True,0.055007191711627684,8,6.0,16.0,12,False,16,7200000,1,True,30.0,True,55.740770999999995,37.673277
51,False,False,0.05693732794924593,3,8.0,33.6,5,False,6,7220153,1,False,33.6,True,55.775824,37.67228
52,False,False,0.057550513472946874,20,10.0,31.8,11,True,44,7250000,1,True,41.9,True,55.77024399999999,37.564689
53,False,True,0.056594642511457724,3,9.0,32.5,6,True,8,7334891,1,False,32.5,True,55.775753,37.671938
54,True,True,0.04882968298074638,4,6.0,19.5,5,False,5,7400000,1,False,32.0,True,55.755353,37.668615
55,False,True,0.056594642511457724,2,8.0,27.6,6,True,7,7411462,1,False,27.6,True,55.775753,37.671938
56,True,False,0.02212880783051607,6,9.0,58.0,13,False,10,26481293,3,False,87.0,True,55.772679000000004,37.608419
57,False,True,0.021258679403952846,2,19.0,102.2,7,True,7,99450000,4,False,153.0,True,55.732498,37.618390000000005
58,False,True,0.015741623931471497,3,20.0,65.0,5,False,6,41277795,3,False,117.0,True,55.766749,37.628631
59,True,True,0.0815786543465851,5,6.0,30.0,15,False,5,7500000,2,True,45.0,True,55.75937,37.538431
60,True,True,0.07211833759869878,9,8.5,17.0,10,False,12,7500000,1,False,35.2,True,55.773731999999995,37.689096
61,False,True,0.056594642511457724,4,9.0,33.0,6,True,9,7584028,1,False,33.0,True,55.775753,37.671938
62,True,True,0.07627556046991522,2,6.0,36.0,15,False,5,7650000,2,True,43.0,True,55.762570999999994,37.544053999999996
63,True,True,0.07627556046991522,2,6.0,36.0,10,False,5,7650000,2,True,43.0,True,55.762570999999994,37.544053999999996
64,True,True,0.0303699354131635,8,8.0,21.4,5,False,16,7693500,1,False,34.0,True,55.774305000000005,37.642132000000004
65,False,True,0.057014074797366136,4,8.0,20.5,5,False,4,7764334,1,False,32.2,True,55.77629399999999,37.672163
66,False,False,0.056594642511457724,3,8.0,26.8,9,True,6,7787802,1,False,32.2,True,55.775753,37.671938
67,True,True,0.056962382832884226,3,6.0,21.0,4,False,5,7800000,1,True,32.0,True,55.76188199999999,37.56344
68,True,False,0.07204426157578561,7,6.0,20.0,13,False,9,7800000,1,True,31.0,True,55.764384,37.548564
69,False,True,0.056594642511457724,3,9.0,34.9,6,True,8,7838741,1,False,34.9,True,55.775753,37.671938
70,False,False,0.02386693935132556,3,6.0,15.0,4,False,5,7850000,1,False,24.0,True,55.77029399999999,37.636976000000004
71,False,True,0.056594642511457724,2,8.0,29.0,6,True,7,7863878,1,False,29.0,True,55.775753,37.671938
72,False,False,0.057014074797366136,2,7.0,29.0,5,False,6,7863878,1,False,29.0,True,55.77629399999999,37.672163
73,True,True,0.0303699354131635,3,9.0,19.0,5,False,16,7866000,1,True,34.0,True,55.774305000000005,37.642132000000004
74,True,False,0.06635873030732513,2,9.0,20.0,8,False,14,8000000,1,True,37.0,False,55.734141,37.683221
75,True,False,0.07295868565153621,5,5.6,29.2,7,False,5,8000000,2,True,43.4,True,55.754335,37.546857
76,True,True,0.0303699354131635,8,9.0,19.0,5,False,16,8002800,1,True,34.0,True,55.774305000000005,37.642132000000004
77,False,False,0.03412641558968665,2,10.0,25.0,5,True,5,8010090,2,True,39.0,True,55.721589,37.608284000000005
78,False,True,0.06502437872059957,2,9.0,15.0,7,False,17,8050000,1,True,35.0,True,55.743781000000006,37.684075
79,False,False,0.057550513472946874,3,10.0,31.4,5,True,39,8076150,1,False,41.1,True,55.77024399999999,37.564689
80,False,True,0.057014074797366136,2,10.0,35.5,5,False,5,8081363,2,False,55.2,True,55.77629399999999,37.672163
81,False,True,0.057014074797366136,2,13.0,32.3,5,False,5,8081363,1,False,55.2,True,55.77629399999999,37.672163
82,False,False,0.05693732794924593,2,9.0,55.2,5,False,6,8081363,2,False,55.2,True,55.775824,37.67228
83,True,False,0.057034791005142485,3,6.0,19.0,10,False,5,8100000,1,True,31.0,True,55.757962,37.562937
84,True,False,0.017899590190843168,5,19.0,94.5,5,True,6,76234000,4,False,151.4,True,55.736909,37.62599
