,Bal,Brick,Dist,Floor,Kitsp,Livesp,Metrdist,New,Nfloors,Price,Rooms,Tel,Totsp,Walk,lat,lon
0,1.0,1.0,0.041515621758562764,3.0,12.1,66.8,2.0,0.0,7.0,93000000.0,3.0,0.0,142.0,1.0,55.750038,37.57846
1,1.0,1.0,0.02053887730622087,7.0,16.0,116.0,8.0,0.0,7.0,62234214.0,4.0,1.0,172.0,1.0,55.773024,37.612829
2,0.0,1.0,0.02635504403334961,3.0,NA,NA,9.0,0.0,7.0,81280000.0,3.0,1.0,146.3,1.0,55.744024,37.644324
3,0.0,0.0,0.057014074797366136,2.0,NA,NA,5.0,0.0,5.0,4814581.0,1.0,NA,17.3,1.0,55.776294,37.672163
4,0.0,1.0,0.057014074797366136,2.0,NA,17.3,5.0,0.0,6.0,4814581.0,1.0,0,17.3,1.0,55.776294,37.672163
5,0.0,1.0,0.029120763880775016,5.0,8.0,27.0,5.0,0.0,5.0,5000000.0,1.0,1.0,35.0,1.0,55.777829,37.603496
6,0.0,0.0,0.057014074797366136,5.0,NA,NA,5.0,0.0,5.0,5377566.0,1.0,NA,18.3,1.0,55.776294,37.672163
7,0.0,0.0,0.05659464251145772,5.0,NA,18.3,6.0,1.0,NA,5377566.0,1.0,NA,18.3,1.0,55.775753,37.671938
8,0.0,0.0,0.05659464251145772,2.0,NA,23.7,6.0,1.0,NA,5496232.0,1.0,NA,23.7,1.0,55.775753,37.671938
9,0.0,1.0,0.057014074797366136,2.0,NA,23.7,5.0,0.0,6,5496232.0,1.0,0,23.7,1.0,55.776294,37.672163
10,0.0,0.0,0.058386680544454984,1.0,7.0,20.0,4.0,0.0,9.0,5500000.0,1.0,1.0,32.0,1.0,55.730101,37.673214
11,1.0,1.0,0.09737198521648666,3.0,NA,16.0,NA,0.0,5,5999000.0,1.0,1,30.0,NA,55.756356,37.522477
12,0.0,1.0,0.08138045213071718,5.0,NA,20.0,10,0.0,5,6000000.0,1.0,NA,32.0,1,55.764551,37.539158
13,0.0,0.0,0.09681553547339339,1.0,NA,20.0,13,0.0,12,6000000.0,1.0,NA,35.0,1,55.753387,37.522998
14,1.0,0.0,0.0595988253659407,12.0,10.0,20.0,10.0,0.0,12.0,6100000.0,1.0,1.0,36.0,1.0,55.737988,37.677301
15,1.0,0.0,0.07266606840197135,1.0,9.6,20.0,10,0.0,1,6200000.0,1.0,NA,37.4,1,55.775793,37.689042
16,0.0,0.0,0.05659464251145772,4.0,NA,25.5,6,1.0,NA,6258687.0,1.0,NA,25.5,1,55.775753,37.671938
17,0.0,0.0,0.057014074797366136,4.0,NA,NA,5,0.0,4,6258687.0,1.0,NA,25.5,1,55.776294,37.672163
18,0.0,0.0,0.05659464251145772,2.0,NA,32.6,6,1.0,NA,6285999.0,1.0,NA,32.6,1,55.775753,37.671938
19,0.0,0.0,0.06984229925339042,1.0,8.0,18.0,12.0,0.0,4.0,6300000.0,1.0,1.0,35.0,0.0,55.778522,37.685099
20,0.0,1.0,0.056937327949245914,3.0,NA,29.5,5,0.0,6,6325576.0,1.0,0,29.5,1,55.775824,37.67228
21,0.0,0.0,0.057014074797366136,3.0,NA,NA,5,0.0,4,6325576.0,1.0,NA,30.0,1,55.776294,37.672163
22,0.0,0.0,0.057014074797366136,3.0,NA,NA,5,0.0,4,6437035.0,1.0,NA,33.5,1,55.776294,37.672163
23,0.0,0.0,0.05659464251145772,3.0,NA,33.4,6,1.0,NA,6437035.0,1.0,NA,33.4,1,55.775753,37.671938
24,0.0,0.0,0.057014074797366136,4.0,NA,NA,5,0.0,4,6449418.0,1.0,NA,28.5,1,55.776294,37.672163
25,0.0,0.0,0.05659464251145772,3.0,NA,28.2,6,1.0,NA,6467402.0,1.0,NA,28.2,1,55.775753,37.671938
26,0.0,1.0,0.09789416254302727,2.0,NA,20.5,11,0.0,5,6500000.0,1.0,1,36.8,1,55.751361,37.521947
27,0.0,0.0,0.05659464251145772,4.0,NA,33.2,6,1.0,NA,6521566.0,1.0,NA,33.2,1,55.775753,37.671938
28,1.0,1.0,0.0540130588839386,7.0,12.2,26.6,5,1.0,13,29634768.0,1.0,NA,68.1,1,55.726762,37.573002
29,1.0,1.0,0.03257940842004308,4.0,15.0,37.0,6,0.0,7,31400000.0,2.0,NA,76.0,1,55.731272,37.643435
30,1.0,1.0,0.02877113040879898,7.0,9.0,49.0,11,0.0,9,41000000.0,2.0,NA,62.0,1,55.764445,37.59312
31,0.0,0.0,0.05659464251145772,4.0,NA,28.1,6,1.0,NA,6577730.0,1.0,NA,28.1,1,55.775753,37.671938
32,0.0,0.0,0.05659464251145772,2.0,NA,27.9,6,1.0,NA,6597337.0,1.0,NA,27.9,1,55.775753,37.671938
33,1.0,0.0,0.10100175369764433,2.0,10.0,18.0,10.0,0.0,12.0,6600000.0,1.0,1.0,34.0,1.0,55.758564,37.518928
34,1.0,1.0,0.06166732231092703,5.0,6.0,18.0,5,0.0,9,6600000.0,2.0,NA,33.1,1,55.73003,37.676753
35,1.0,1.0,0.06166732231092703,5.0,5.6,20.2,5,0.0,9,6600000.0,1.0,NA,33.1,1,55.73003,37.676753
